table,col_nm,domain,normal_data,err_data,datatype,rule,total_cnt,err_cnt,err_rt
NPCOOWN.CMBA11,INP_USR_ID,번호,"['rladmsgud', 'hladmin', 'sgaadmin', 'kimkh19', 'hero21']",[],VARCHAR2(20),"영문,숫자,특수문자(_-)",55,0,0.0
NPCOOWN.CMBA11,INP_DT,날짜,"['20221220', '20220321', '20220310', '20220531', '20210810']",[],VARCHAR2(8),년월일,55,0,0.0
NPCOOWN.CMBA11,INP_TM,날짜,"['090949', '093340', '094604', '095331', '095437']",[],VARCHAR2(6),시분초(HH24MISS),55,0,0.0
NPCOOWN.CMBA11,UPT_USR_ID,번호,"['rladmsgud', 'hladmin', 'sgaadmin', 'kimkh19', 'hero21']",[],VARCHAR2(20),"영문,숫자,특수문자(_-)",55,0,0.0
NPCOOWN.CMBA11,UPT_DT,날짜,"['20221220', '20220321', '20220310', '20220531', '20230615']",[],VARCHAR2(8),년월일,55,0,0.0
NPCOOWN.CMBA11,UPT_TM,날짜,"['090949', '094604', '095340', '095437', '095608']",[],VARCHAR2(6),시분초(HH24MISS),55,0,0.0
NPCOOWN.CMCA01,USR_ID,번호,"['20190280', '8bangmiin', 'D6442401', 'KHH0717K', 'KJH10258']",[],VARCHAR2(20),"영문,숫자,특수문자(_-)",180,0,0.0
NPCOOWN.CMCA01,USR_NM,,"['이예린', 'sga', '감사기획부', '김근호', '김동일']",[],VARCHAR2(50),,,,
NPCOOWN.CMCA01,MBL_TEL,번호,"['NULL', '-', '01094464492', '01097858870', '01012345678']","['010-2046-****', '010-2922-****']",VARCHAR2(13),전화번호(최종),159,2,1.26
NPCOOWN.CMCA01,OFC_TEL,번호,"['NULL', '02-1231-1231', '02-1234-3412', '02-5555-5555', '031-345-2922']",[],VARCHAR2(13),전화번호(최종),16,0,0.0
NPCOOWN.CMCA01,EML,번호,"['NULL', '-', 'test@test.com', 'bsoh@korbi.com', 'healim5194@keco.or.kr']",[],VARCHAR2(30),이메일,135,0,0.0
NPCOOWN.CMCA01,INS_NM,,"['한국환경공단', '(주)에이치코비', 'NULL', '지방자치단체', '환경부']",[],VARCHAR2(50),,,,
NPCOOWN.CMCA01,PS_DPT_NM,,"['NULL', '물환경사업본부', '-', '비점시설검사부', '수생태비점사업부']",[],VARCHAR2(50),,,,
NPCOOWN.CMCA01,TIT,,"['주무관', '-', 'NULL', '사원', '과장']",[],VARCHAR2(30),,,,
NPCOOWN.CMCA01,USR_DSC,,"['NULL', '생태하천복원사업 정보입력', '생태하천복원사업관리', '측정망 유지관리', '생태하천복원사업 자료입력']",[],VARCHAR2(100),,,,
NPCOOWN.CMCA01,LAT_LGN_DTM,날짜,"['NULL', '20190718103631', '20190725102201', '20200403095954', '20210122141630']",[],VARCHAR2(14),년월일시분초,132,0,0.0
NPCOOWN.CMCA01,PWD_CHG_DTM,날짜,"['20200320161449', '20200403094226', '20200403094309', '20200403094356', '20200403094602']",[],VARCHAR2(14),년월일시분초,162,0,0.0
NPCOOWN.CMCA01,LCK_YN,코드,"['Y', 'R', 'N', 'NULL']",[],VARCHAR2(1),락_여부,158,0,0.0
NPCOOWN.CMCA01,CNNT_IP,번호,"['NULL', '-', '172.31.132.155', '172.31.132.192', '192.168.0.999']",[],VARCHAR2(15),IPv4 정규식(오라클),8,0,0.0
NPCOOWN.CMCA01,CNNT_YN,여부,['N'],[],VARCHAR2(1),여부Y/N,162,0,0.0
NPCOOWN.CMCA01,BAS_SYS_NO,번호,"['S02', 'S03', 'S01', 'NULL', 'S06']",[],VARCHAR2(3),영문/숫자만 사용,157,0,0.0
NPCOOWN.CMCA01,USE_PSB_BGN_DT,날짜,"['NULL', '20230503', '20220801', '20220307', '20220509']",[],VARCHAR2(8),년월일,119,0,0.0
NPCOOWN.CMCA01,USE_PSB_END_DT,날짜,"['NULL', '20250503', '20230502', '20291231', '20231231']",[],VARCHAR2(8),년월일,113,0,0.0
NPCOOWN.CMCA01,LGN_FAL_CNT,번호,"['0', 'NULL', '1', '4', '2']",[],NUMBER,숫자만사용,150,0,0.0
NPCOOWN.CMCA01,ASIS_USR_ID,번호,"['NULL', '121', '348', '368', '81']",[],VARCHAR2(20),숫자만사용,5,0,0.0
NPCOOWN.CMCA01,INP_USR_ID,번호,"['ADMIN', 'SYSTEM', 'MIG201912']",[],VARCHAR2(20),영문/숫자만 사용,162,0,0.0
NPCOOWN.CMCA01,INP_DT,날짜,"['20230106', '20230503', '20220502', '20230104', '20200403']",[],VARCHAR2(8),년월일,162,0,0.0
NPCOOWN.CMCA01,INP_TM,날짜,"['102932', '130223', '091753', '092305', '092657']",[],VARCHAR2(6),시분초(HH24MISS),162,0,0.0
NPCOOWN.CMCA01,UPT_USR_ID,번호,"['ADMIN', 'SYSTEM', '1', 'MIG201912', 'lsc982']",[],VARCHAR2(20),영문/숫자만 사용,162,0,0.0
NPCOOWN.CMCA01,UPT_DT,날짜,"['20230503', '20230106', '20230104', '20230314', '20200403']",[],VARCHAR2(8),년월일,162,0,0.0
NPCOOWN.CMCA01,UPT_TM,날짜,"['132931', '134913', '102932', '091731', '104848']",[],VARCHAR2(6),시분초(HH24MISS),162,0,0.0
NPCOOWN.CMCA01,TERMS_AGREE_YN,여부,"['Y', 'N']",[],VARCHAR2(1),여부Y/N,162,0,0.0
NPCOOWN.CMCA01,TERMS_AGREE_YN2,여부,"['NULL', 'Y', 'N']",[],VARCHAR2(1),여부Y/N,57,0,0.0
NPCOOWN.CMCA01,USR_GUBUN,번호,"['N', 'P', 'NULL', 'U']",[],VARCHAR2(1),형식_영문1자리(X),133,0,0.0
NPCOOWN.CMCA01,INS_NO,번호,"['NULL', '130001']",[],VARCHAR2(12),숫자만사용,2,0,0.0
NPCOOWN.CMCA02,OBJ_NO,번호,"['B2095', 'B2133', 'B2134', 'B2135', 'B2182']",[],VARCHAR2(5),오브젝트번호,395,0,0.0
NPCOOWN.CMCA02,OBJ_NM,,"['공지사항', '자료실', 'Q&A', '지리정보', 'Q&A 등록']",[],VARCHAR2(100),,,,
NPCOOWN.CMCA02,OBJ_TP_CD,코드,"['D', 'M', 'F', 'G', 'BN']",[],VARCHAR2(10),오브젝트유형코드(권한),395,0,0.0
NPCOOWN.CMCA02,DSP_OUT_ORD,번호,"['NULL', '1', '2', '3']",[],NUMBER,숫자만사용,4,0,0.0
NPCOOWN.CMCA02,BGN_DT,날짜,"['NULL', '20191101']",[],VARCHAR2(8),년월일,6,0,0.0
NPCOOWN.CMCA02,END_DT,날짜,"['NULL', '20191130', '20191114', '20191123', '20191129']",[],VARCHAR2(8),년월일,6,0,0.0
NPCOOWN.CMCA02,INP_USR_ID,번호,"['ADMIN', 'MIG201912', 'admin', 'adm']",[],VARCHAR2(20),영문/숫자만 사용,395,0,0.0
NPCOOWN.CMCA02,INP_DT,날짜,"['20220302', '20190926', '20200521', '20191016', '20191022']",[],VARCHAR2(8),년월일,395,0,0.0
NPCOOWN.CMCA02,INP_TM,날짜,"['150000', '103135', '111310', '092418', '094104']",[],VARCHAR2(6),시분초(HH24MISS),395,0,0.0
NPCOOWN.CMCA02,UPT_USR_ID,번호,"['ADMIN', 'MIG201912', 'admin', 'adm']",[],VARCHAR2(20),영문/숫자만 사용,395,0,0.0
NPCOOWN.CMCA02,UPT_DT,날짜,"['20220302', '20190926', '20200521', '20191016', '20191022']",[],VARCHAR2(8),년월일,395,0,0.0
NPCOOWN.CMCA02,UPT_TM,날짜,"['150000', '103135', '092211', '092418', '094104']",[],VARCHAR2(6),시분초(HH24MISS),395,0,0.0
NPCOOWN.CMCA03,SYS_NO,번호,"['S01', 'S02', 'S03', 'S04', 'S05']",[],VARCHAR2(3),영문/숫자만 사용,8,0,0.0
NPCOOWN.CMCA03,SYS_NM,,"['고랭지밭 지리정보 분석', '대국민 통합 사이트', '비점오염 설치사업장 지원시스템', '비점오염 저감시설 관리', '비점오염물질 측정망 관리']",[],VARCHAR2(50),,,,
NPCOOWN.CMCA03,OUT_NO,번호,"['1', '2', '3', '4', '5']",[],NUMBER,형식_숫자1자리(9),8,0,0.0
NPCOOWN.CMCA03,INP_USR_ID,번호,"['MIG201912', 'SYSTEM']",[],VARCHAR2(20),영문/숫자만 사용,8,0,0.0
NPCOOWN.CMCA03,INP_DT,날짜,"['20190926', '20191030', '20191018', '20221214']",[],VARCHAR2(8),년월일,8,0,0.0
NPCOOWN.CMCA03,INP_TM,날짜,"['101416', '160806', '160828', '160842', '160856']",[],VARCHAR2(6),시분초(HH24MISS),8,0,0.0
NPCOOWN.CMCA03,UPT_USR_ID,번호,"['MIG201912', 'SYSTEM']",[],VARCHAR2(20),영문/숫자만 사용,8,0,0.0
NPCOOWN.CMCA03,UPT_DT,날짜,"['20200325', '20200326', '20221214']",[],VARCHAR2(8),년월일,8,0,0.0
NPCOOWN.CMCA03,UPT_TM,날짜,"['101416', '141623', '172953', '173029', '173036']",[],VARCHAR2(6),시분초(HH24MISS),8,0,0.0
NPCOOWN.CMCA03,USE_YN,여부,"['Y', 'N']",[],VARCHAR2(1),여부Y/N,8,0,0.0
NPCOOWN.CMCA11,CNNT_DT,날짜,"['20210507', '20220322', '20221220', '20220808', '20220816']",[],VARCHAR2(8),년월일,"2,808,299",0,0.0
NPCOOWN.CMCA11,CNNT_TM,날짜,"['103824', '103853', '103837', '103838', '103843']",[],VARCHAR2(6),시분초(HH24MISS),"2,808,364",0,0.0
NPCOOWN.CMCA11,LOG_KND_CD,코드,"['DO', 'JSON', 'SESSIONC', 'LOGINS', 'LOGOUT']",[],VARCHAR2(10),공통코드,"2,909,883",0,0.0
NPCOOWN.CMCA11,USR_ID,번호,"['-', 'korbi01', 'korbi04', 'korbi05', 'nhd2002']",[],VARCHAR2(20),"영문,숫자,특수문자(_-)","3,054,424",0,0.0
NPCOOWN.CMCA11,CNNT_IP,번호,"['58.103.2.148', '172.31.132.151', '112.220.126.156', '211.193.41.38', '125.128.69.72']",[],VARCHAR2(15),IPv4 정규식(오라클),"3,054,426",0,0.0
NPCOOWN.CMCA11,CNNT_SYS_NO,번호,"['S02', 'S04', 'S01', 'S03', 'S07']",[],VARCHAR2(3),영문/숫자만 사용,"2,999,154",0,0.0
NPCOOWN.CMCA11,CNNT_BRS_CD,,"['MSIE 11.0', 'Other 0.0', 'Chrome 104', 'Chrome 102', 'Chrome 99.']",[],VARCHAR2(10),,,,
NPCOOWN.CMCA11,CN,,"['NULL', '', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', '', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', 'test', '', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",[],VARCHAR2(100),,,,
NPCOOWN.CMCA11,INP_USR_ID,번호,"['anonymous', 'korbi01', 'korbi04', 'korbi05', 'nhd2002']",[],VARCHAR2(20),"영문,숫자,특수문자(_-)","3,054,424",0,0.0
NPCOOWN.CMCA11,INP_DT,날짜,"['20210507', '20220322', '20221220', '20220808', '20220816']",[],VARCHAR2(8),년월일,"2,808,299",0,0.0
NPCOOWN.CMCA11,INP_TM,날짜,"['103824', '103853', '103837', '103838', '103843']",[],VARCHAR2(6),시분초(HH24MISS),"2,808,364",0,0.0
NPCOOWN.CMCA11,UPT_USR_ID,번호,"['anonymous', 'korbi01', 'korbi04', 'korbi05', 'nhd2002']",[],VARCHAR2(20),"영문,숫자,특수문자(_-)","3,054,424",0,0.0
NPCOOWN.CMCA11,UPT_DT,날짜,"['20210507', '20220322', '20221220', '20220808', '20220816']",[],VARCHAR2(8),년월일,"2,808,299",0,0.0
NPCOOWN.CMCA11,UPT_TM,날짜,"['103824', '103853', '103837', '103838', '103843']",[],VARCHAR2(6),시분초(HH24MISS),"2,808,332",0,0.0
NPCOOWN.CMCA11,DIS_NO,번호,"['NULL', 'MLS020303G02', 'MLS020101G02', 'MLS0703G01', 'MLS020101G01']",[],VARCHAR2(20),영문/숫자만 사용,"17,089",0,0.0
NPCOOWN.CMCA12,OBJ_NO,번호,"['M1022', 'M3011', 'D1026', 'D1027', 'D1028']",[],VARCHAR2(5),오브젝트번호,"2,237",0,0.0
NPCOOWN.CMCA12,OBJ_NO,번호,"['M1022', 'M3011', 'D1026', 'D1027', 'D1028']","['G1001', 'F4005', 'P2342', 'P2340', 'P2297', 'P2246', 'P2204', 'P2203', 'P2202', 'P2193']",VARCHAR2(5),오브젝트번호,"2,237",35,1.56
NPCOOWN.CMCA12,PAR_OBJ_NO,번호,"['G2306', 'G0000', 'G2307', 'G1001', 'G2417']",[],VARCHAR2(5),오브젝트번호,"2,237",0,0.0
NPCOOWN.CMCA12,RLS_SYS_NO,번호,"['S01', 'S02', 'S06', 'S05', 'S03']",[],VARCHAR2(3),영문/숫자만 사용,"2,237",0,0.0
NPCOOWN.CMCA12,RLS_SE_CD,코드,"['GD', 'GM', 'MD', 'GF', 'MM']",[],VARCHAR2(10),관계_구분_코드,"2,206",0,0.0
NPCOOWN.CMCA12,DSP_ORD,번호,"['1', '2', '3', '4', '5']",[],NUMBER,숫자만사용,"2,220",0,0.0
NPCOOWN.CMCA12,GNB_OUT_YN,여부,"['NULL', 'Y', 'N']",[],VARCHAR2(1),여부Y/N,375,0,0.0
NPCOOWN.CMCA12,LNB_OUT_YN,여부,"['NULL', 'Y', 'N']",[],VARCHAR2(1),여부Y/N,375,0,0.0
NPCOOWN.CMCA12,INP_USR_ID,번호,"['ADMIN', 'MIG201912', 'dahan2019']",[],VARCHAR2(20),영문/숫자만 사용,"2,237",0,0.0
NPCOOWN.CMCA12,INP_DT,날짜,"['20220509', '20221213', '20200325', '20220302', '20221101']",[],VARCHAR2(8),년월일,"2,237",0,0.0
NPCOOWN.CMCA12,INP_TM,날짜,"['100922', '110311', '140707', '150000', '170559']",[],VARCHAR2(6),시분초(HH24MISS),"2,237",0,0.0
NPCOOWN.CMCA12,UPT_USR_ID,번호,"['ADMIN', 'MIG201912', 'dahan2019', 'dahan2029', 'dahan2020']",[],VARCHAR2(20),영문/숫자만 사용,"2,237",0,0.0
NPCOOWN.CMCA12,UPT_DT,날짜,"['20220509', '20221213', '20200325', '20220302', '20221101']",[],VARCHAR2(8),년월일,"2,237",0,0.0
NPCOOWN.CMCA12,UPT_TM,날짜,"['100922', '110311', '140707', '150000', '170559']",[],VARCHAR2(6),시분초(HH24MISS),"2,237",0,0.0
NPCOOWN.CMCA13,USR_ID,번호,"['8bangmiin', 'D6442401', 'KHH0717K', 'KJH10258', 'MIG201912']",[],VARCHAR2(20),"영문,숫자,특수문자(_-)",127,0,0.0
NPCOOWN.CMCA13,USR_ID,번호,"['8bangmiin', 'D6442401', 'KHH0717K', 'KJH10258', 'MIG201912']","['sga34', 'sga31']",VARCHAR2(20),"영문,숫자,특수문자(_-)",122,2,1.64
NPCOOWN.CMCA13,OBJ_NO,번호,"['G2431', 'G2289', 'G2286', 'G2439', 'G2288']",[],VARCHAR2(5),오브젝트번호,118,0,0.0
NPCOOWN.CMCA13,ATH_BGN_DT,날짜,"['20230106', '20230503', '20230104', '20220307', '20220509']",[],VARCHAR2(8),년월일,121,0,0.0
NPCOOWN.CMCA13,ATH_END_DT,날짜,"['20250106', '20250503', '20250104', '20291231', '20250324']",[],VARCHAR2(8),년월일,121,0,0.0
NPCOOWN.CMCA13,INP_USR_ID,번호,"['SYSTEM', 'ADMIN', 'MIG201912']",[],VARCHAR2(20),영문/숫자만 사용,121,0,0.0
NPCOOWN.CMCA13,INP_DT,날짜,"['20230106', '20230503', '20230104', '20200403', '20230116']",[],VARCHAR2(8),년월일,121,0,0.0
NPCOOWN.CMCA13,INP_TM,날짜,"['110744', '171129', '092305', '092740', '092803']",[],VARCHAR2(6),시분초(HH24MISS),121,0,0.0
NPCOOWN.CMCA13,UPT_USR_ID,번호,"['SYSTEM', 'NULL', 'ADMIN', 'MIG201912', 'sga99']",[],VARCHAR2(20),영문/숫자만 사용,86,0,0.0
NPCOOWN.CMCA13,UPT_DT,날짜,"['20230503', '20230104', '20230106', '20200403', '20230116']",[],VARCHAR2(8),년월일,121,0,0.0
NPCOOWN.CMCA13,UPT_TM,날짜,"['132931', '110744', '111012', '091731', '104848']",[],VARCHAR2(6),시분초(HH24MISS),121,0,0.0
NPCOOWN.CMCA13,GRP_CONF_YN,여부,"['N', 'Y']",[],VARCHAR2(1),여부Y/N,121,0,0.0
NPCOOWN.CMCA14,USR_ID,번호,"['1', '20190280', '8bangmiin', 'A0001', 'D6442401']",[],VARCHAR2(20),"영문,숫자,특수문자(_-)",91,0,0.0
NPCOOWN.CMCA14,ATH_KND_CD,코드,"['15', '13', '16', 'A01']",['A01'],VARCHAR2(10),기관_구분_코드,93,1,1.08
NPCOOWN.CMCA14,INP_USR_ID,번호,"['ADMIN', 'MIG201912']",[],VARCHAR2(20),영문/숫자만 사용,91,0,0.0
NPCOOWN.CMCA14,INP_DT,날짜,"['20220502', '20230104', '20230106', '20200403', '20210929']",[],VARCHAR2(8),년월일,91,0,0.0
NPCOOWN.CMCA14,INP_TM,날짜,"['092657', '092709', '093023', '093408', '093425']",[],VARCHAR2(6),시분초(HH24MISS),91,0,0.0
NPCOOWN.CMCA14,UPT_USR_ID,번호,"['ADMIN', 'MIG201912']",[],VARCHAR2(20),영문/숫자만 사용,91,0,0.0
NPCOOWN.CMCA14,UPT_DT,날짜,"['20220801', '20220509', '20230104', '20230106', '20220307']",[],VARCHAR2(8),년월일,91,0,0.0
NPCOOWN.CMCA14,UPT_TM,날짜,"['102206', '092657', '093023', '095110', '095203']",[],VARCHAR2(6),시분초(HH24MISS),91,0,0.0
NPCOOWN.CMCA15,USR_ID,번호,"['korbi_5', 'korbi_8', 'sga1', 'korbi05', 'nonpoint']",[],VARCHAR2(20),"영문,숫자,특수문자(_-)",38,0,0.0
NPCOOWN.CMCA15,OBJ_NO,번호,"['D1012', 'D3109', 'D3104', 'D3105', 'D3155']",[],VARCHAR2(5),오브젝트번호,38,0,0.0
NPCOOWN.CMCA15,INP_USR_ID,번호,"['korbi_5', 'korbi_8', 'sga1', 'korbi05', 'nonpoint']",[],VARCHAR2(20),"영문,숫자,특수문자(_-)",38,0,0.0
NPCOOWN.CMCA15,INP_DT,날짜,"['20220502', '20200331', '20211108', '20220616', '20210929']",[],VARCHAR2(8),년월일,38,0,0.0
NPCOOWN.CMCA15,INP_TM,날짜,"['082653', '084258', '085531', '094510', '103245']",[],VARCHAR2(6),시분초(HH24MISS),38,0,0.0
NPCOOWN.CMCA15,UPT_USR_ID,번호,"['korbi_5', 'korbi_8', 'sga1', 'korbi05', 'nonpoint']",[],VARCHAR2(20),"영문,숫자,특수문자(_-)",38,0,0.0
NPCOOWN.CMCA15,UPT_DT,날짜,"['20220502', '20200331', '20211108', '20220616', '20210929']",[],VARCHAR2(8),년월일,38,0,0.0
NPCOOWN.CMCA15,UPT_TM,날짜,"['082653', '084258', '085531', '094510', '103245']",[],VARCHAR2(6),시분초(HH24MISS),38,0,0.0
NPCOOWN.CMCA16,MBL_TEL,번호,"['01020467923', '01033734737', '01041551874', '01047295534', '01071375968']",[],VARCHAR2(13),전화번호(최종),26,0,0.0
NPCOOWN.CMCA16,TRN_DTM,날짜,"['20200406120409', '20200406120517', '20200406142526', '20200406142702', '20200805130711']",[],VARCHAR2(14),년월일시분초,24,0,0.0
NPCOOWN.CMCA16,USR_ID,번호,"['20190280', 'dahanit1', 'kimkh19', 'sga1', 'weaktest1']",[],VARCHAR2(20),"영문,숫자,특수문자(_-)",26,0,0.0
NPCOOWN.CMCA16,CERT_NO,번호,"['118476', '140517', '148333', '148632', '151364']",[],CHAR(6),형식_숫자6자리(999999),24,0,0.0
NPCOOWN.CMCA16,CERT_CNF,여부,['N'],[],VARCHAR2(1),여부Y/N,24,0,0.0
NPCOOWN.CMCA16,CERT_KND_CD,코드,['ID'],[],VARCHAR2(10),인증_종류_코드,26,0,0.0
NPCOOWN.CMCA16,INP_USR_ID,번호,['ADMIN'],[],VARCHAR2(20),영문/숫자만 사용,24,0,0.0
NPCOOWN.CMCA16,INP_DT,날짜,"['20210330', '20200406', '20201109', '20220322', '20230608']",[],VARCHAR2(8),년월일,24,0,0.0
NPCOOWN.CMCA16,INP_TM,날짜,"['071829', '091935', '092013', '095035', '102827']",[],VARCHAR2(6),시분초(HH24MISS),24,0,0.0
NPCOOWN.CMCA16,UPT_USR_ID,번호,['ADMIN'],[],VARCHAR2(20),영문/숫자만 사용,24,0,0.0
NPCOOWN.CMCA16,UPT_DT,날짜,"['20210330', '20200406', '20201109', '20220322', '20230608']",[],VARCHAR2(8),년월일,24,0,0.0
NPCOOWN.CMCA16,UPT_TM,날짜,"['071829', '091935', '092013', '095035', '102827']",[],VARCHAR2(6),시분초(HH24MISS),24,0,0.0
NPCOOWN.CMCA21,DIS_NO,번호,"['MLS0100', 'MLS010000', 'MLS010001', 'MLS010001G01', 'MLS010001G01F01']",[],VARCHAR2(20),영문/숫자만 사용,988,0,0.0
